area,habitaciones,banos,garaje,calidad,zona,tipo,anio,precio
234,3,4,1,Lujo,Villas del Rey,Departamento,1992,5399739
262,6,3,1,Buena,Centro,Departamento,2010,7935575
401,4,3,3,Buena,Centro,Casa,2006,11113568
173,3,2,1,Mala,Villas del Rey,Casa,2002,3208533
101,3,4,1,Mala,Centro,Casa,1990,3587145
69,1,2,0,Excelente,Marina Mazatlan,Departamento,1998,4631139
386,6,5,3,Lujo,Zona Dorada,Casa,2022,35667609
100,3,3,0,Lujo,Villas del Rey,Casa,2008,3213209
138,3,3,2,Buena,Centro,Casa,2000,3760755
61,2,1,1,Regular,Pradera Dorada,Casa,2014,1828662
75,1,1,2,Buena,Cerritos,Departamento,2001,2469150
67,1,2,1,Excelente,Marina Mazatlan,Departamento,1998,5187362
380,5,3,4,Mala,Zona Dorada,Casa,1997,17552515
331,6,5,3,Lujo,Centro,Casa,2018,12146665
245,3,2,1,Regular,Marina Mazatlan,Casa,2001,11627799
374,4,2,3,Lujo,Zona Dorada,Casa,1991,26671274
117,3,4,1,Excelente,Centro,Departamento,2026,5374329
391,6,5,3,Buena,Zona Dorada,Casa,1998,23684817
300,4,2,2,Buena,Marina Mazatlan,Casa,1991,16838846
141,3,3,1,Lujo,Pradera Dorada,Casa,2005,4466627
117,2,1,2,Mala,Centro,Departamento,2026,4356496
282,6,5,1,Mala,Pradera Dorada,Departamento,2019,6422698
375,6,4,2,Excelente,Pradera Dorada,Casa,2016,10428790
251,5,5,0,Lujo,Marina Mazatlan,Departamento,1991,20986214
238,3,2,2,Regular,Zona Dorada,Casa,2014,15013437
107,3,4,1,Buena,Cerritos,Casa,2011,5553650
118,3,2,1,Lujo,Cerritos,Casa,2026,7327555
219,4,2,0,Buena,Villas del Rey,Departamento,1993,3865188
296,6,3,2,Mala,Pradera Dorada,Departamento,2025,8371206
166,3,3,2,Excelente,Cerritos,Casa,2002,8446816
426,4,3,2,Buena,Marina Mazatlan,Casa,2011,23932631
56,2,1,0,Lujo,Pradera Dorada,Departamento,2017,2052874
91,2,1,1,Regular,Centro,Casa,2003,2542964
173,4,3,1,Mala,Villas del Rey,Departamento,2026,4095506
189,3,2,2,Mala,Zona Dorada,Departamento,2025,15351045
345,6,4,4,Mala,Pradera Dorada,Casa,1995,6099108
78,1,2,1,Regular,Cerritos,Casa,2000,2652773
50,1,1,1,Regular,Pradera Dorada,Departamento,2003,1422285
249,4,2,0,Regular,Pradera Dorada,Departamento,2000,4603400
107,2,1,1,Regular,Pradera Dorada,Departamento,2026,3407729
305,5,5,2,Lujo,Cerritos,Casa,2002,16623761
229,3,4,0,Excelente,Pradera Dorada,Departamento,2010,5524034
172,3,2,1,Regular,Pradera Dorada,Departamento,2025,5397813
110,2,1,1,Lujo,Centro,Departamento,1991,3346570
128,3,3,2,Mala,Pradera Dorada,Departamento,2002,3974685
225,4,4,1,Buena,Villas del Rey,Departamento,2025,6428083
227,4,3,2,Buena,Villas del Rey,Departamento,2014,5524387
248,4,2,2,Regular,Marina Mazatlan,Casa,2021,15239457
270,6,4,2,Excelente,Marina Mazatlan,Departamento,2003,21868498
236,3,3,0,Lujo,Cerritos,Departamento,2017,11119026
165,4,2,1,Buena,Marina Mazatlan,Casa,2010,10648045
136,3,4,1,Excelente,Marina Mazatlan,Casa,2016,10986135
197,3,2,1,Excelente,Cerritos,Departamento,2015,8659981
63,2,2,1,Buena,Centro,Casa,2026,2915514
196,4,4,2,Excelente,Marina Mazatlan,Casa,2022,16764790
147,3,3,2,Excelente,Cerritos,Casa,2013,6991912
341,6,3,3,Mala,Pradera Dorada,Casa,2013,7989807
169,3,3,1,Regular,Villas del Rey,Departamento,2010,3806468
345,5,5,3,Buena,Marina Mazatlan,Casa,2021,26386106
209,3,3,1,Excelente,Villas del Rey,Casa,2006,5267648
416,4,4,4,Regular,Villas del Rey,Casa,2018,8598551
333,5,4,4,Excelente,Villas del Rey,Casa,2015,9635296
366,4,3,2,Lujo,Cerritos,Casa,2018,19766917
352,5,4,3,Buena,Pradera Dorada,Casa,2003,8823249
202,4,4,2,Excelente,Zona Dorada,Departamento,2006,17833595
93,2,1,0,Excelente,Marina Mazatlan,Departamento,1991,6112278
117,3,3,1,Lujo,Marina Mazatlan,Casa,2016,11559874
365,5,5,3,Regular,Pradera Dorada,Casa,2004,8565891
289,4,4,0,Excelente,Cerritos,Departamento,2006,11138260
81,3,2,2,Regular,Marina Mazatlan,Departamento,2009,6795490
147,3,4,2,Excelente,Pradera Dorada,Departamento,2000,4408564
328,4,2,4,Lujo,Villas del Rey,Casa,1997,5645245
248,3,3,0,Mala,Zona Dorada,Departamento,2024,20239566
221,4,2,2,Lujo,Pradera Dorada,Departamento,2002,6922475
69,1,1,0,Regular,Villas del Rey,Casa,1998,1117224
184,4,3,1,Mala,Marina Mazatlan,Departamento,2016,11965885
233,3,4,1,Regular,Marina Mazatlan,Departamento,2002,16992418
319,5,4,3,Regular,Centro,Casa,2023,9559264
69,2,1,1,Mala,Villas del Rey,Departamento,1993,1308866
68,1,1,1,Mala,Centro,Departamento,2017,1949412
107,2,1,2,Buena,Marina Mazatlan,Departamento,2002,9104530
81,3,4,2,Mala,Villas del Rey,Departamento,2007,3587431
278,4,2,4,Lujo,Zona Dorada,Casa,2023,28387964
372,4,3,2,Lujo,Centro,Casa,2003,12373530
224,4,2,0,Mala,Pradera Dorada,Departamento,2011,4685511
220,4,4,1,Lujo,Pradera Dorada,Departamento,2002,6515637
153,4,2,1,Regular,Pradera Dorada,Departamento,2001,3042561
96,3,4,1,Lujo,Villas del Rey,Departamento,2015,3792011
113,3,3,1,Regular,Pradera Dorada,Casa,2009,3104478
436,5,4,4,Regular,Zona Dorada,Casa,2001,23109678
434,5,5,4,Buena,Pradera Dorada,Casa,1993,8085992
263,5,4,0,Buena,Villas del Rey,Departamento,2010,7054683
180,3,3,1,Mala,Villas del Rey,Casa,2007,3976337
148,2,1,0,Excelente,Cerritos,Departamento,2000,4701285
117,2,2,0,Regular,Marina Mazatlan,Departamento,2018,8638506
288,5,4,3,Regular,Villas del Rey,Casa,1990,5313004
243,4,3,2,Excelente,Pradera Dorada,Departamento,1993,5269517
221,3,4,2,Lujo,Zona Dorada,Casa,2014,20277966
276,6,3,0,Buena,Cerritos,Departamento,2010,12451682
445,4,3,2,Buena,Cerritos,Casa,1996,14405223
126,2,2,1,Buena,Pradera Dorada,Departamento,2005,3367658
235,4,4,1,Mala,Zona Dorada,Casa,1991,11894095
147,3,3,1,Regular,Pradera Dorada,Departamento,2005,3865040
295,6,4,0,Regular,Marina Mazatlan,Departamento,1991,17722055
185,4,3,1,Regular,Marina Mazatlan,Casa,2014,12645497
53,1,2,2,Mala,Pradera Dorada,Departamento,1999,1628773
278,4,2,2,Regular,Villas del Rey,Departamento,2018,5789992
209,4,2,2,Excelente,Pradera Dorada,Departamento,2003,5700354
284,6,3,2,Lujo,Villas del Rey,Casa,1992,6379452
177,3,3,1,Buena,Pradera Dorada,Departamento,2010,4844428
166,4,2,1,Regular,Centro,Departamento,2001,3975377
71,2,2,0,Lujo,Centro,Casa,2020,3012274
225,4,2,1,Buena,Villas del Rey,Departamento,2025,5030835
116,3,4,1,Mala,Marina Mazatlan,Departamento,2019,9634034
120,3,4,1,Regular,Centro,Departamento,1992,3460271
296,6,4,4,Mala,Cerritos,Casa,1994,8909217
84,3,4,1,Buena,Marina Mazatlan,Casa,2017,7423876
47,2,2,0,Buena,Marina Mazatlan,Departamento,2007,3912781
95,2,2,2,Regular,Pradera Dorada,Departamento,2023,3352456
104,3,3,1,Excelente,Pradera Dorada,Departamento,1991,3016353
314,6,4,2,Mala,Cerritos,Casa,2001,9181951
216,3,4,2,Mala,Cerritos,Casa,2006,7985957
66,1,2,1,Buena,Cerritos,Departamento,2001,2490229
122,2,2,2,Regular,Cerritos,Casa,2000,3899866
438,6,4,2,Lujo,Pradera Dorada,Casa,2019,12183124
278,4,2,3,Mala,Centro,Casa,2017,6480422
435,4,3,2,Mala,Marina Mazatlan,Casa,1993,17753149
103,2,1,1,Excelente,Zona Dorada,Casa,2000,6057003
210,4,4,2,Mala,Marina Mazatlan,Departamento,1992,9984766
94,2,1,1,Excelente,Cerritos,Departamento,2001,3828426
90,2,2,1,Lujo,Pradera Dorada,Casa,2020,3177875
278,6,4,2,Excelente,Marina Mazatlan,Departamento,1998,19953021
80,1,1,0,Lujo,Zona Dorada,Departamento,2022,8048462
214,3,2,0,Mala,Villas del Rey,Departamento,2009,4277482
105,2,1,0,Regular,Zona Dorada,Casa,1998,4992473
178,3,4,2,Buena,Villas del Rey,Casa,2018,5055308
298,5,4,0,Excelente,Pradera Dorada,Departamento,2010,8447099
400,4,2,3,Excelente,Cerritos,Casa,2015,17750091
142,2,2,1,Lujo,Centro,Departamento,2026,6755589
124,2,1,0,Buena,Centro,Departamento,2009,3669603
352,4,2,2,Excelente,Pradera Dorada,Casa,1991,6493194
439,6,5,4,Mala,Cerritos,Casa,1993,12320166
264,6,5,4,Mala,Villas del Rey,Casa,2004,5733888
334,6,5,2,Buena,Marina Mazatlan,Casa,1999,19274553
99,3,3,2,Lujo,Pradera Dorada,Departamento,2005,4240552
391,4,2,2,Buena,Cerritos,Casa,1995,12643800
162,3,4,2,Lujo,Zona Dorada,Casa,2005,15141931
69,2,2,2,Excelente,Pradera Dorada,Departamento,2012,2558680
126,3,3,0,Regular,Zona Dorada,Departamento,1990,8631060
151,4,4,1,Excelente,Centro,Casa,1992,4837809
152,3,4,0,Lujo,Marina Mazatlan,Departamento,1999,11591677
224,4,4,2,Excelente,Zona Dorada,Casa,2024,18871201
290,6,4,2,Excelente,Zona Dorada,Casa,2000,19109509
92,3,2,1,Buena,Zona Dorada,Casa,2009,7030265
81,2,2,2,Buena,Marina Mazatlan,Departamento,2018,8145053
306,4,2,3,Lujo,Pradera Dorada,Casa,2007,8132645
113,3,3,0,Excelente,Marina Mazatlan,Departamento,2006,10512160
409,5,5,4,Regular,Centro,Casa,2013,10816827
287,4,3,3,Mala,Pradera Dorada,Casa,2010,5119733
278,6,3,2,Lujo,Marina Mazatlan,Departamento,2021,29581350
229,4,4,2,Excelente,Pradera Dorada,Casa,2009,7705540
89,3,2,0,Buena,Zona Dorada,Casa,2019,6786305
450,4,3,4,Buena,Centro,Casa,2019,14378141
124,3,3,2,Mala,Villas del Rey,Casa,2002,2607984
184,3,2,1,Excelente,Cerritos,Casa,2006,8925778
182,4,4,2,Regular,Cerritos,Casa,2013,7361967
164,3,2,1,Regular,Cerritos,Departamento,1992,4919772
133,2,2,1,Lujo,Zona Dorada,Casa,2026,12582261
337,5,5,4,Excelente,Centro,Casa,2016,13756783
273,4,3,2,Buena,Pradera Dorada,Departamento,2002,6631993
399,5,4,2,Excelente,Pradera Dorada,Casa,2024,11334455
161,3,2,1,Lujo,Villas del Rey,Departamento,2021,4874455
243,4,3,1,Lujo,Zona Dorada,Departamento,2011,25926812
233,3,2,1,Regular,Zona Dorada,Departamento,2007,16860416
322,6,5,3,Excelente,Marina Mazatlan,Casa,2017,25398652
196,4,3,2,Mala,Centro,Departamento,2022,5576861
74,2,1,0,Mala,Villas del Rey,Casa,2014,1392672
382,5,4,4,Regular,Villas del Rey,Casa,2019,7824841
439,6,5,3,Mala,Marina Mazatlan,Casa,2014,25271128
409,5,4,2,Lujo,Cerritos,Casa,2016,20059358
45,2,1,2,Lujo,Cerritos,Departamento,2010,2653991
86,2,2,2,Buena,Zona Dorada,Departamento,2001,5572439
50,1,2,2,Regular,Pradera Dorada,Departamento,1992,1212810
211,4,3,2,Regular,Cerritos,Casa,2008,7568759
368,5,4,3,Buena,Centro,Casa,2023,13529191
258,5,4,1,Mala,Centro,Departamento,1999,5915155
106,2,1,0,Regular,Cerritos,Departamento,1995,3138355
415,4,4,4,Lujo,Pradera Dorada,Casa,1991,8411688
160,3,3,1,Mala,Zona Dorada,Departamento,2016,12377484
148,2,2,2,Lujo,Centro,Casa,2003,5479633
368,5,3,2,Regular,Centro,Casa,2004,10456998
59,1,2,2,Lujo,Cerritos,Departamento,1995,2848505
102,2,1,1,Buena,Villas del Rey,Casa,2025,2693013
254,4,4,2,Buena,Zona Dorada,Departamento,2017,21883072
238,4,2,1,Regular,Pradera Dorada,Departamento,2016,6325708
137,2,2,2,Excelente,Zona Dorada,Casa,2000,8734338
84,3,2,2,Mala,Centro,Departamento,1997,2785704
364,6,3,4,Regular,Zona Dorada,Casa,2005,23792741
219,4,4,1,Lujo,Marina Mazatlan,Casa,2020,18319029
285,5,4,2,Excelente,Zona Dorada,Casa,2002,21515299
235,4,4,2,Lujo,Pradera Dorada,Casa,2023,8568168
415,6,5,3,Excelente,Villas del Rey,Casa,2013,10211071
251,4,4,2,Buena,Zona Dorada,Departamento,1992,18246190
266,5,5,0,Lujo,Centro,Departamento,1993,7608320
100,3,2,1,Regular,Zona Dorada,Casa,1998,5688769
248,4,2,2,Excelente,Marina Mazatlan,Departamento,2025,26570799
91,2,1,1,Excelente,Villas del Rey,Departamento,2020,2317398
287,4,2,3,Lujo,Marina Mazatlan,Casa,2017,26662118
86,3,3,0,Buena,Centro,Departamento,2022,3429217
372,6,4,2,Lujo,Zona Dorada,Casa,2010,30355087
99,2,2,0,Buena,Villas del Rey,Casa,2022,2392398
79,1,1,2,Regular,Centro,Departamento,2018,2496633
161,4,2,1,Excelente,Marina Mazatlan,Casa,2020,13736641
92,2,2,1,Lujo,Pradera Dorada,Departamento,2013,3295649
254,5,4,3,Lujo,Centro,Casa,2026,10111855
145,2,2,0,Lujo,Centro,Departamento,1992,4194721
66,2,1,2,Lujo,Pradera Dorada,Departamento,1991,1854852
85,3,3,0,Excelente,Cerritos,Casa,2025,5372269
129,2,1,1,Buena,Villas del Rey,Casa,1990,2022587
70,2,1,0,Mala,Marina Mazatlan,Casa,2015,4390070
82,2,1,1,Buena,Zona Dorada,Departamento,1993,5353840
123,3,2,1,Buena,Pradera Dorada,Casa,2001,2588364
182,4,3,1,Excelente,Villas del Rey,Departamento,2007,5205561
374,4,2,4,Lujo,Centro,Casa,2013,13242779
226,4,2,1,Mala,Centro,Departamento,2022,6670625
215,4,4,2,Regular,Marina Mazatlan,Casa,1990,10514595
262,4,4,2,Buena,Zona Dorada,Departamento,1997,16477681
181,3,2,2,Excelente,Villas del Rey,Casa,2023,4901081
174,4,2,1,Mala,Pradera Dorada,Departamento,2009,4485769
188,4,3,0,Buena,Marina Mazatlan,Departamento,2026,17526195
65,2,2,1,Buena,Cerritos,Casa,2005,2927859
211,4,2,2,Mala,Zona Dorada,Casa,2006,13082422
247,3,4,2,Mala,Pradera Dorada,Departamento,2018,5842739
440,6,5,4,Lujo,Villas del Rey,Casa,2018,11927828
282,6,5,2,Lujo,Villas del Rey,Casa,1997,5562155
418,4,2,4,Regular,Pradera Dorada,Casa,2000,6434089
163,4,3,0,Lujo,Villas del Rey,Departamento,1992,4014324
135,2,1,0,Regular,Zona Dorada,Departamento,1996,8409442
121,3,4,1,Excelente,Centro,Departamento,2008,4838977
71,1,1,1,Excelente,Centro,Casa,2016,2665955
195,3,3,0,Excelente,Pradera Dorada,Departamento,2010,5248972
256,5,3,2,Lujo,Cerritos,Casa,2022,13674244
121,3,4,1,Regular,Zona Dorada,Departamento,1997,8576387
263,6,3,1,Buena,Cerritos,Departamento,2014,11169942
406,6,5,2,Regular,Pradera Dorada,Casa,1992,7045167
49,2,1,2,Mala,Villas del Rey,Departamento,1992,1287132
294,4,4,2,Regular,Cerritos,Casa,2022,12137832
175,4,3,2,Buena,Cerritos,Casa,2014,7919055
121,3,2,2,Mala,Marina Mazatlan,Casa,1998,6175224
108,2,1,0,Lujo,Zona Dorada,Casa,1995,6838823
82,2,2,0,Excelente,Zona Dorada,Casa,1992,5808183
88,2,1,1,Excelente,Cerritos,Departamento,2001,3324711
88,2,2,1,Lujo,Villas del Rey,Casa,1990,1917444
236,3,2,0,Excelente,Zona Dorada,Departamento,2018,21698237
66,2,2,1,Regular,Pradera Dorada,Departamento,2009,1918920
295,5,5,1,Excelente,Marina Mazatlan,Departamento,1993,20146027
119,2,2,0,Buena,Centro,Departamento,2022,3823572
209,4,4,2,Excelente,Cerritos,Casa,1997,8254707
170,3,2,1,Regular,Zona Dorada,Casa,2019,11971861
249,4,2,0,Lujo,Cerritos,Departamento,1999,10006404
175,3,3,1,Buena,Villas del Rey,Casa,2023,5479131
221,4,3,2,Mala,Centro,Casa,2025,7019011
432,6,4,3,Mala,Marina Mazatlan,Casa,2024,29168915
236,3,4,0,Lujo,Centro,Departamento,2023,8769217
135,2,2,1,Lujo,Marina Mazatlan,Casa,2009,12268465
193,4,4,1,Regular,Pradera Dorada,Casa,1998,4758928
264,6,5,0,Mala,Villas del Rey,Departamento,1993,4694508
354,5,4,2,Buena,Marina Mazatlan,Casa,2001,18315406
108,2,2,1,Regular,Villas del Rey,Casa,2008,2375535
322,4,2,4,Lujo,Zona Dorada,Casa,2012,26922813
218,3,3,1,Lujo,Centro,Departamento,1998,6856255
137,3,3,2,Regular,Zona Dorada,Departamento,2015,9628187
190,4,4,2,Lujo,Centro,Departamento,2011,6913987
60,2,1,0,Regular,Centro,Departamento,2017,2460866
107,3,2,2,Excelente,Centro,Departamento,1998,3153649
184,4,2,0,Buena,Marina Mazatlan,Departamento,1998,10254400
92,2,2,0,Excelente,Cerritos,Casa,2003,4331193
61,1,2,0,Mala,Marina Mazatlan,Departamento,2006,3906818
255,6,4,2,Mala,Centro,Departamento,2004,7909783
138,3,4,1,Excelente,Villas del Rey,Casa,1990,3888058
52,2,1,0,Lujo,Zona Dorada,Departamento,2021,5538129
307,5,3,4,Buena,Zona Dorada,Casa,1992,18981536
161,3,2,1,Lujo,Pradera Dorada,Casa,1990,3290445
123,3,3,2,Regular,Marina Mazatlan,Departamento,2006,10110962
231,4,3,0,Mala,Pradera Dorada,Departamento,1992,3424931
252,6,4,4,Buena,Cerritos,Casa,2019,13686720
166,4,4,2,Mala,Zona Dorada,Casa,2026,12914771
178,3,2,2,Mala,Centro,Casa,1999,3400218
209,4,2,0,Lujo,Villas del Rey,Departamento,1993,4713718
174,4,4,0,Buena,Zona Dorada,Departamento,1992,11702420
124,3,3,2,Excelente,Centro,Departamento,1996,3986747
406,4,4,4,Regular,Villas del Rey,Casa,2008,8404620
416,5,5,4,Buena,Centro,Casa,2007,13167572
362,4,2,2,Regular,Marina Mazatlan,Casa,2009,21864684
176,3,3,2,Buena,Villas del Rey,Casa,2012,4204931
367,6,5,4,Excelente,Zona Dorada,Casa,2014,27805541
97,3,2,2,Mala,Marina Mazatlan,Departamento,1996,5918483
93,3,2,2,Lujo,Cerritos,Departamento,2019,5881354
229,4,3,1,Mala,Cerritos,Departamento,1991,7290863
132,3,2,0,Lujo,Pradera Dorada,Departamento,1999,3420881
153,3,3,1,Excelente,Centro,Casa,2004,5999682
132,2,2,1,Excelente,Centro,Departamento,1993,4267094
182,3,2,1,Mala,Zona Dorada,Departamento,2000,9736670
312,4,3,2,Buena,Cerritos,Casa,2016,13562407
252,5,5,3,Regular,Marina Mazatlan,Casa,2021,16889944
201,4,2,2,Lujo,Zona Dorada,Casa,2005,17935045
245,3,2,0,Regular,Villas del Rey,Departamento,2004,4733390
288,6,4,3,Mala,Pradera Dorada,Casa,2002,7179786
237,4,3,1,Excelente,Villas del Rey,Departamento,2009,6103839
385,4,4,2,Lujo,Zona Dorada,Casa,2024,37342989
60,1,2,2,Excelente,Marina Mazatlan,Departamento,1990,4945326
197,3,3,0,Lujo,Pradera Dorada,Departamento,2017,7147920
81,2,2,0,Regular,Marina Mazatlan,Casa,1998,4429142
292,5,5,4,Regular,Pradera Dorada,Casa,2003,7730997
69,1,1,1,Lujo,Zona Dorada,Casa,2011,5557448
280,6,5,2,Regular,Pradera Dorada,Departamento,1996,5835621
230,3,4,1,Excelente,Pradera Dorada,Casa,1993,5357681
208,4,4,2,Regular,Zona Dorada,Casa,2010,15084516
289,4,4,0,Buena,Villas del Rey,Departamento,2022,6303799
197,4,4,1,Buena,Marina Mazatlan,Departamento,2015,14740170
87,3,3,1,Lujo,Pradera Dorada,Casa,1994,2566881
195,3,2,1,Buena,Marina Mazatlan,Casa,2014,11827245
319,4,3,3,Buena,Cerritos,Casa,2024,15794173
192,3,2,2,Mala,Zona Dorada,Casa,2003,10990965
199,3,4,0,Excelente,Marina Mazatlan,Departamento,2005,18751683
101,2,1,1,Buena,Pradera Dorada,Casa,1992,2058855
188,3,2,1,Excelente,Centro,Casa,2021,6563660
249,3,3,1,Regular,Cerritos,Casa,2024,11207067
122,3,2,0,Excelente,Centro,Departamento,2003,3790070
73,1,1,1,Regular,Cerritos,Casa,1999,2250051
125,3,4,2,Buena,Zona Dorada,Casa,2015,9450386
199,3,3,2,Mala,Cerritos,Casa,2015,6098244
411,5,4,2,Excelente,Villas del Rey,Casa,2012,8905835
350,6,4,3,Buena,Zona Dorada,Casa,2021,27158101
110,2,1,2,Mala,Marina Mazatlan,Departamento,2003,7519324
373,6,5,4,Buena,Marina Mazatlan,Casa,2025,32840990
434,6,5,3,Regular,Pradera Dorada,Casa,1990,7843923
117,3,3,0,Regular,Cerritos,Departamento,1992,4696011
308,6,3,2,Excelente,Villas del Rey,Casa,1994,6074369
163,3,4,0,Excelente,Cerritos,Departamento,2023,9704797
75,1,2,0,Lujo,Marina Mazatlan,Departamento,2019,8176723
235,4,2,0,Mala,Marina Mazatlan,Departamento,2002,15753392
184,4,4,1,Mala,Villas del Rey,Casa,2010,3651407
315,4,4,2,Regular,Villas del Rey,Casa,2004,7244099
449,5,5,4,Buena,Centro,Casa,2022,15702439
253,4,2,4,Lujo,Zona Dorada,Casa,2001,17984898
254,5,3,0,Lujo,Cerritos,Departamento,1995,9684612
121,2,2,2,Mala,Cerritos,Casa,1990,3650738
131,2,2,0,Buena,Marina Mazatlan,Departamento,2025,12742140
322,4,2,3,Regular,Centro,Casa,2017,9509537
89,2,1,0,Buena,Marina Mazatlan,Departamento,2009,6785814
200,3,2,0,Buena,Marina Mazatlan,Departamento,2023,16944575
81,3,2,1,Lujo,Marina Mazatlan,Casa,2020,8219310
204,3,3,2,Lujo,Villas del Rey,Casa,2001,4918987
280,6,5,4,Lujo,Zona Dorada,Casa,2006,25055279
409,5,4,2,Buena,Cerritos,Casa,2001,13889740
57,1,1,0,Regular,Pradera Dorada,Departamento,2014,1505961
301,4,4,3,Lujo,Villas del Rey,Casa,1996,6421665
251,4,3,2,Lujo,Zona Dorada,Casa,1998,16667613
67,2,2,1,Lujo,Centro,Departamento,2008,2770576
123,2,2,1,Lujo,Villas del Rey,Departamento,2001,2762103
178,4,4,0,Excelente,Zona Dorada,Departamento,2021,16854922
243,4,2,2,Excelente,Marina Mazatlan,Departamento,1993,18516878
250,4,2,2,Regular,Villas del Rey,Casa,2015,4884160
118,2,1,1,Regular,Cerritos,Departamento,1999,3992250
102,3,4,1,Excelente,Marina Mazatlan,Departamento,2009,10221093
77,1,2,0,Lujo,Zona Dorada,Departamento,2015,8135643
144,3,3,0,Mala,Cerritos,Departamento,2019,5631843
167,3,3,2,Lujo,Villas del Rey,Departamento,2018,4932965
198,4,2,2,Regular,Villas del Rey,Departamento,1999,3948057
195,4,4,2,Mala,Villas del Rey,Casa,2004,4283214
139,3,2,1,Excelente,Zona Dorada,Departamento,2024,15061111
255,6,3,1,Excelente,Cerritos,Departamento,1992,9034653
249,4,2,2,Mala,Pradera Dorada,Departamento,2001,3754926
105,2,1,1,Buena,Marina Mazatlan,Casa,2019,7736534
260,4,4,3,Lujo,Cerritos,Casa,2019,13677580
47,2,2,2,Regular,Cerritos,Departamento,2012,2292163
93,2,1,0,Buena,Marina Mazatlan,Casa,2003,6260017
118,2,1,1,Lujo,Marina Mazatlan,Casa,2018,10616472
372,5,3,2,Buena,Centro,Casa,2000,9235824
158,3,2,1,Regular,Zona Dorada,Departamento,2007,11257814
76,2,1,0,Mala,Zona Dorada,Casa,2005,4351289
218,3,2,1,Regular,Marina Mazatlan,Departamento,1996,12792690
240,4,2,2,Mala,Centro,Casa,1998,4486603
431,6,3,3,Mala,Cerritos,Casa,2023,16516293
293,5,3,2,Regular,Marina Mazatlan,Departamento,2021,21753476
344,4,4,4,Lujo,Pradera Dorada,Casa,2006,9666717
127,2,2,1,Lujo,Centro,Casa,2003,4817821
244,3,4,2,Excelente,Zona Dorada,Departamento,2009,20259011
121,2,2,1,Lujo,Pradera Dorada,Casa,2003,3694864
285,6,5,1,Lujo,Cerritos,Departamento,2011,14864850
293,4,2,3,Buena,Marina Mazatlan,Casa,1994,16779604
290,5,4,1,Buena,Villas del Rey,Departamento,2007,7571649
124,3,4,2,Lujo,Zona Dorada,Departamento,2014,12115978
410,6,5,4,Lujo,Marina Mazatlan,Casa,1995,23903103
277,4,4,4,Lujo,Cerritos,Casa,2015,15618522
